               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023423,            0.006233,                   0,              0.9472,             0.99123,             0.98833,             0.80079,            0.017765,           0.0039107,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.022467,           0.0057654,                   0,             0.95536,             0.99123,             0.99088,             0.73976,            0.020849,           0.0040212,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.022749,           0.0058715,                   0,              0.9739,             0.99123,             0.99234,             0.76459,            0.021234,           0.0039801,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.022841,           0.0058656,                   0,             0.95728,             0.98271,              0.9925,             0.79105,            0.018447,           0.0038801,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.021597,           0.0054641,                   0,              0.9559,                   1,             0.99283,             0.72439,            0.020621,           0.0039543,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.022022,            0.005756,                   0,             0.94991,             0.99817,             0.99255,             0.77186,            0.019079,           0.0038694,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.022567,             0.00586,                   0,             0.96607,             0.99901,             0.99163,             0.79814,            0.016703,           0.0037702,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.021275,             0.00589,                   0,             0.96573,                   1,             0.99234,             0.80753,            0.016644,           0.0036607,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.021262,           0.0056117,                   0,             0.96607,             0.99898,             0.98986,             0.76829,            0.018409,           0.0036947,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              0.0207,           0.0056387,                   0,             0.96445,             0.99123,             0.98853,             0.77668,            0.018301,           0.0036465,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.021103,           0.0055733,                   0,             0.96494,             0.99123,             0.99169,             0.80791,            0.016779,           0.0036523,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,             0.01985,           0.0055611,                   0,             0.97392,                   1,              0.9905,             0.78989,            0.017178,           0.0036786,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.021409,           0.0057918,                   0,             0.97251,                   1,             0.99259,             0.77215,            0.017925,           0.0036235,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,             0.02039,           0.0056426,                   0,             0.96377,                   1,              0.9923,             0.80749,            0.016821,           0.0037527,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,             0.01986,           0.0058094,                   0,             0.97415,                   1,             0.98895,             0.79452,             0.01713,           0.0037188,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.020155,           0.0055882,                   0,             0.96396,                   1,             0.98799,             0.81236,             0.01563,           0.0035381,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.020567,           0.0053359,                   0,             0.96604,             0.99803,             0.99232,              0.7919,             0.01698,           0.0036275,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.020168,           0.0055801,                   0,             0.96602,                   1,             0.99278,              0.8154,            0.016831,           0.0036286,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.01834,           0.0052768,                   0,             0.95539,                   1,             0.99178,             0.83639,            0.015459,           0.0035307,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.019536,           0.0053664,                   0,             0.96469,                   1,             0.98762,             0.80421,            0.016969,           0.0036568,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.018616,           0.0051514,                   0,             0.97413,             0.99095,             0.99306,             0.81214,            0.016916,           0.0035261,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.020194,           0.0052532,                   0,              0.9646,                   1,             0.99242,             0.80833,            0.016149,           0.0034836,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018613,           0.0051115,                   0,             0.96397,                   1,             0.98723,             0.80301,            0.016242,           0.0035032,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.019468,           0.0052732,                   0,             0.96437,                   1,             0.99271,             0.81874,            0.015476,           0.0034766,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.019639,           0.0055043,                   0,             0.95707,                   1,             0.99252,              0.8149,            0.016301,           0.0034769,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.020158,           0.0053281,                   0,             0.97294,             0.99123,             0.98823,             0.80473,            0.016433,           0.0035154,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.019878,           0.0053844,                   0,             0.98258,             0.98944,             0.98724,             0.83035,             0.01523,           0.0035111,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.017745,           0.0052467,                   0,             0.97433,             0.99879,             0.99235,             0.81472,            0.015402,           0.0034392,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.017501,           0.0051472,                   0,             0.96524,                   1,             0.99076,             0.80287,              0.0167,           0.0034612,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.018015,           0.0051058,                   0,             0.97427,             0.99664,             0.99315,             0.82122,            0.015257,           0.0033901,                   0,            0.008713,            0.008713,            0.008713
                  67,                0.02,           0.0053014,                   0,             0.98271,             0.99716,             0.99326,             0.82655,            0.015312,           0.0033696,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.019463,           0.0053546,                   0,             0.97337,                   1,             0.98905,             0.79979,             0.01668,           0.0034975,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019729,           0.0053007,                   0,             0.97274,                   1,              0.9936,             0.82979,            0.014365,           0.0034311,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017627,           0.0050588,                   0,             0.96502,                   1,             0.99305,             0.83412,            0.015158,           0.0034373,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.017944,           0.0050456,                   0,             0.97427,             0.99653,             0.99323,             0.80521,            0.016711,           0.0034593,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.016801,            0.004942,                   0,             0.97429,             0.99743,             0.99216,             0.80585,            0.016741,           0.0034969,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.017709,           0.0050952,                   0,             0.97312,                   1,             0.99333,             0.83491,            0.014234,           0.0034189,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              0.0175,           0.0050039,                   0,             0.97274,                   1,             0.99227,             0.81074,            0.015976,           0.0034312,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.019121,           0.0050727,                   0,             0.97157,                   1,             0.97757,             0.81398,            0.014462,           0.0034234,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.018004,           0.0049289,                   0,             0.97038,                   1,             0.99189,             0.84902,            0.014542,           0.0034479,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.018628,           0.0051153,                   0,             0.96529,                   1,             0.99332,             0.82444,            0.015894,           0.0034842,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.017959,           0.0048404,                   0,             0.96491,                   1,             0.99316,             0.83089,            0.014766,           0.0033029,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.018059,           0.0052322,                   0,             0.96652,                   1,             0.99196,             0.85384,             0.01413,           0.0033708,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.016755,           0.0050342,                   0,             0.96605,                   1,             0.98602,             0.83904,            0.014759,           0.0033066,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.016865,           0.0047211,                   0,             0.97324,                   1,             0.99036,              0.8307,            0.014299,           0.0032771,                   0,            0.008416,            0.008416,            0.008416
